ATK,Aquireable,CP39,CP40,CrossGen,DEF,EvolutionStage,Evolved,FamilyID,FutureEvolve,Generation,Hatchable,ImgName,Legendary,Name,Nest,New,NotGettable,PokedexNumber,Raidable,Regional,Row,STA,STATTOTAL,Shiny,Spawns,Type1,Type2,Weather1,Weather2,_id
118,1,967,981,0,118,1,0,1,0,1,5,1,0,Bulbasaur,1,0,0,1,0,0,1,90,326,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4bf
151,1,1529,1552,0,151,2,0,1,0,1,0,2,0,Ivysaur,0,0,0,2,0,0,2,120,422,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4c0
198,1,2531,2568,0,198,3,1,1,0,1,0,3,0,Venusaur,0,0,0,3,0,0,3,160,556,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4c1
116,1,819,831,0,96,1,0,2,0,1,5,4,0,Charmander,1,0,0,4,0,0,4,78,290,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4c2
158,1,1462,1484,0,129,2,0,2,0,1,0,5,0,Charmeleon,0,0,0,5,0,0,5,116,403,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4c3
223,1,2648,2686,0,176,3,1,2,0,1,0,6,0,Charizard,0,0,0,6,0,0,6,156,555,0,1,fire,flying,Sunny/clear,Windy,60f83d8adb25e1905e06f4c4
94,1,797,808,0,122,1,0,3,0,1,5,7,0,Squirtle,1,0,0,7,0,0,7,88,304,0,1,water,,Rainy,,60f83d8adb25e1905e06f4c5
126,1,1305,1324,0,155,2,0,3,0,1,0,8,0,Wartortle,0,0,0,8,0,0,8,118,399,0,1,water,,Rainy,,60f83d8adb25e1905e06f4c6
171,1,2259,2291,0,210,3,1,3,0,1,0,9,0,Blastoise,0,0,0,9,0,0,9,158,539,0,1,water,,Rainy,,60f83d8adb25e1905e06f4c7
55,1,387,393,0,62,1,0,4,0,1,0,10,0,Caterpie,1,0,0,10,0,0,10,90,207,0,1,bug,,Rainy,,60f83d8adb25e1905e06f4c8
45,1,413,419,0,94,2,0,4,0,1,0,11,0,Metapod,0,0,0,11,0,0,11,100,239,0,1,bug,,Rainy,,60f83d8adb25e1905e06f4c9
167,1,1677,1701,0,151,3,0,4,0,1,0,12,0,Butterfree,0,0,0,12,0,0,12,120,438,0,1,bug,flying,Rainy,Windy,60f83d8adb25e1905e06f4ca
63,1,391,397,0,55,1,0,5,0,1,0,13,0,Weedle,1,0,0,13,0,0,13,80,198,0,1,bug,poison,Rainy,Cloudy,60f83d8adb25e1905e06f4cb
46,1,386,392,0,86,2,0,5,0,1,0,14,0,Kakuna,0,0,0,14,0,0,14,90,222,0,1,bug,poison,Rainy,Cloudy,60f83d8adb25e1905e06f4cc
169,1,1752,1777,0,150,3,0,5,0,1,0,15,0,Beedrill,0,0,0,15,0,0,15,130,449,0,1,bug,poison,Rainy,Cloudy,60f83d8adb25e1905e06f4cd
85,1,572,580,0,76,1,0,6,0,1,0,16,0,Pidgey,1,0,0,16,0,0,16,80,241,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f4ce
